,BRCA,COAD,KIRC,LUAD,PRAD
BRCA,,9.4018,8.8158,9.2218,8.9261
COAD,9.4018,,9.1725,11.6142,9.3156
KIRC,8.8158,9.1725,,9.0102,8.9601
LUAD,9.2218,11.6142,9.0102,,9.0626
PRAD,8.9261,9.3156,8.9601,9.0626,
