,BRCA,COAD,KIRC,LUAD,PRAD
BRCA,,2.3374,2.1039,2.5813,2.6552
COAD,2.3374,,2.0621,2.7441,2.351
KIRC,2.1039,2.0621,,2.4149,2.406
LUAD,2.5813,2.7441,2.4149,,2.8574
PRAD,2.6552,2.351,2.406,2.8574,
