comparaison,var1,var2,overlap
toutes classes,PC6,PC3,16.273925660979216
BRCA vs COAD,PC4,PC7,2.447902590525843
BRCA vs KIRC,PC2,PC12,2.808454766766851
BRCA vs LUAD,PC6,PC12,10.524374050876238
BRCA vs PRAD,PC3,PC9,2.2636913621305297
COAD vs KIRC,PC2,PC3,1.5103217744516881
COAD vs LUAD,PC4,PC9,3.1267433854664533
COAD vs PRAD,PC3,PC7,0.8013193135550559
KIRC vs LUAD,PC2,PC11,3.9157133636339587
KIRC vs PRAD,PC2,PC12,1.515401639029595
LUAD vs PRAD,PC3,PC2,1.2515166816322478
